team,matchclub,matchcountry,fbrefid
Trnava (Svk),FC Spartak Trnava,Slovakia,c16f1fe7
Tskhinvali (Geo),FC Spartaki Tskhinvali,Georgia,e6561daf
U Craiova (Rou),CS Universitatea Craiova,Romania,1eebf7c3
UC Dublin (Irl),University College Dublin AFC,Ireland,04dcef70
UE Engordany,UE Engordany,Andorra,b784c866
UE Engordany (And),UE Engordany,Andorra,b784c866
UE Santa Coloma (And),UE Santa Coloma,Andorra,84a33cca
Ufa (Rus),FC Ufa,Russia,ec7fdeb7
Ujpest (Hun),Újpest FC,Hungary,108607cf
Ulisses Yerevan (Arm),Ulisses FC,Armenia,3bc8afc5
Urartu (Arm),FC Banants,Armenia,f0e1ca42
Utrecht (Ned),FC Utrecht,Netherlands,2a428619
Vaduz (Lie),FC Vaduz,Liechtenstein,b1b46fc3
Valencia,Valencia CF,Spain,dcc91a7b
Valencia (Esp),Valencia CF,Spain,dcc91a7b
Valletta (Mlt),Valletta FC,Malta,3f53cc7a
Valur (Ice),Valur,Iceland,b838366a
Vardar (Mkd),FK Vardar,North Macedonia,5b47810a
Vasas (Hun),Vasas FC,Hungary,bbb935cb
Ventspils (Lat),FK Ventspils,Latvia,869a3b6a
Vestmannaeyjar (Ice),Íþróttabandalag Vestmannaeyja,Iceland,e0afb445
Viitorul Constanta (Rou),FC Viitorul Constanța,Romania,4fffe901
Vikingur (Fai),Víkingur Gøta,Faroe Islands,ea73b616
Vikingur Reykjavik (Ice),Knattspyrnufélagið Víkingur,Iceland,ead990c4
Villarreal,Villarreal CF,Spain,2a8183b3
Villarreal (Esp),Villarreal CF,Spain,2a8183b3
Vitebsk (Blr),FC Vitebsk,Belarus,3f2bd811
Vitesse (Ned),Vitesse Arnhem,Netherlands,209d7fa2
Vojvodina (Srb),FK Vojvodina,Serbia,278db974
Vorskla Poltava (Ukr),FC Vorskla Poltava,Ukraine,99f258c2
VPS (Fin),Vaasan PS,Finland,8b63ce55
West Ham (Eng),West Ham United FC,England,7c21e445
Wolfsberger AC (Aut),Wolfsberger AC,Austria,426658a6
Wolfsburg,VfL Wolfsburg,Germany,4eaa11d7
Wolves (Eng),Wolverhampton Wanderers FC,England,8cec06e1
Yeni Malatyaspor (Tur),Yeni Malatyaspor,Turkey,4cc7a87b
Young Boys (Sui),BSC Young Boys,Switzerland,4b682260
Zaglebie (Pol),KGHM Zagłębie Lubin,Poland,3458af25
Zalgiris (Ltu),VMFD Žalgiris Vilnius,Lithuania,4c6489de
Zaria Balti (Mda),FC Zaria Bălți,Moldova,99a0526b
Zeljeznicar (Bih),FK Željezničar Sarajevo,Bosnia and Herzegovina,ee945014
Zenit,FC Zenit Saint Petersburg,Russia,98ce363d
Zenit (Rus),FC Zenit Saint Petersburg,Russia,98ce363d
Zeta (Mne),FK Zeta,Montenegro,bda134f7
Zhodino (Blr),FC Torpedo-BelAZ Zhodino,Belarus,f7e8060a
Zilina (Svk),MŠK Žilina,Slovakia,e5dea1f1
Zimbru Chisinau (Mda),FC Zimbru Chișinău,Moldova,24cd860c
Zira (Aze),Zira FK,Azerbaijan,ffb7956e
Zrinjski (Bih),HŠK Zrinjski Mostar,Bosnia and Herzegovina,2a6cfcb2
Zurich,FC Zürich,Switzerland,22a5a99c
Zurich (Sui),FC Zürich,Switzerland,22a5a99c
