clubid,club,country,countrycode,governingbody,clubshortnames
b70ec3fa,Odds BK,Norway,NOR,UEFA,Odd
8dc7bf66,OFK Titograd,Montenegro,MNE,UEFA,Mladost|OFK Titograd
132ebc33,OGC Nice,France,FRA,UEFA,Nice
2fdb4aef,Olympiacos FC,Greece,GRE,UEFA,Olympiacos
5725cc7b,Olympique de Marseille,France,FRA,UEFA,Marseille
d53c0b06,Olympique Lyonnais,France,FRA,UEFA,Lyon
6e5246d8,Omonia Aradippou,Cyprus,CYP,UEFA,Omo Aradippou
ed6b1d21,Osmanlıspor FK,Turkey,TUR,UEFA,Osmanlıspor
577e2606,Östersunds FK,Sweden,SWE,UEFA,Östersund
f3a5726c,Panathinaikos FC,Greece,GRE,UEFA,Panathinaikos
1ad6cc2c,Panionios FC,Greece,GRE,UEFA,Panionios
5a5e7874,PAOK FC,Greece,GRE,UEFA,PAOK
e2d8892c,Paris Saint-Germain FC,France,FRA,UEFA,Paris S-G
6507d2b8,PAS Giannina,Greece,GRE,UEFA,PAS Giannina
e3db180b,PEC Zwolle,Netherlands,NED,UEFA,Zwolle
ab7b2fe7,PFC Beroe Stara Zagora,Bulgaria,BUL,UEFA,Beroe
e56e174a,PFC Botev Plovdiv,Bulgaria,BUL,UEFA,Botev Plovdiv
f61e60c9,PFC Cherno More Varna,Bulgaria,BUL,UEFA,Cherno More
f0c0c2c2,PFC CSKA Moscow,Russia,RUS,UEFA,CSKA Moscow
cbde2682,PFC CSKA Sofia,Bulgaria,BUL,UEFA,CSKA Sofia
3a7a27c6,PFC Levski Sofia,Bulgaria,BUL,UEFA,Levski Sofia
835be610,PFC Litex Lovech,Bulgaria,BUL,UEFA,Litex Lovech
e0242ef1,PFC Lokomotiv Plovdiv,Bulgaria,BUL,UEFA,Loko Plovdiv
488c6ba1,PFC Ludogorets Razgrad,Bulgaria,BUL,UEFA,Ludogorets
b35f18af,PFC Slavia Sofia,Bulgaria,BUL,UEFA,Slavia Sofia
e334d850,PSV Eindhoven,Netherlands,NED,UEFA,PSV Eindhoven
44b65410,Qarabağ FK,Azerbaijan,AZE,UEFA,Qarabağ FK|Qarabağ Ağdam
140e320a,R. Charleroi SC,Belgium,BEL,UEFA,Charleroi
406252ea,Racing FC Union Luxembourg,Luxembourg,LUX,UEFA,Racing Lux'bg
d06bc460,Randers FC,Denmark,DEN,UEFA,Randers
86b7acd2,Rangers FC,Scotland,SCO,UEFA,Rangers
acbb6a5b,RB Leipzig,Germany,GER,UEFA,RB Leipzig
c0d3eab4,RC Strasbourg Alsace,France,FRA,UEFA,Strasbourg
a8661628,RCD Espanyol,Spain,ESP,UEFA,Espanyol
fc536746,Real Betis,Spain,ESP,UEFA,Betis
53a2f082,Real Madrid CF,Spain,ESP,UEFA,Real Madrid
e31d1cd9,Real Sociedad,Spain,ESP,UEFA,Real Sociedad
099c6eb5,Red Star Belgrade,Serbia,SRB,UEFA,Red Star
91cc0413,Riga FC,Latvia,LVA,UEFA,Riga FC|Rīga FC
eea856da,Rio Ave FC,Portugal,POR,UEFA,Rio Ave
27b6696c,RNK Split,Croatia,CRO,UEFA,RNK Split
90e37d3a,Rosenborg BK,Norway,NOR,UEFA,Rosenborg
4fea542b,Rovaniemen PS,Finland,FIN,UEFA,RoPS
c2e6b53b,Royal Antwerp FC,Belgium,BEL,UEFA,Antwerp
08ad393c,RSC Anderlecht,Belgium,BEL,UEFA,Anderlecht
6de42722,S.P. La Fiorita,San Marino,SMR,UEFA,S.P. La Fiorita|La Fiorita
017bcbe4,S.P. Tre Fiori,San Marino,SMR,UEFA,S.P. Tre Fiori|SP Tre Fiori
aaffe678,S.P. Tre Penne,San Marino,SMR,UEFA,S.P. Tre Penne|Tre Penne
6642b67e,Sabail FK,Azerbaijan,AZE,UEFA,Səbail FK
47b3e736,Sarpsborg 08 FF,Norway,NOR,UEFA,Sarpsborg 08
69d84c29,SC Braga,Portugal,POR,UEFA,Braga
a486e511,SC Freiburg,Germany,GER,UEFA,Freiburg
80beba99,SC Rheindorf Altach,Austria,AUT,UEFA,SCR Altach
c889f292,Seinäjoen SJK,Finland,FIN,UEFA,SJK Seinäjoki
ad2be733,Sevilla FC,Spain,ESP,UEFA,Sevilla
f082c4f3,Shamrock Rovers FC,Ireland,IRL,UEFA,Shamrock Rov
aeae4fe1,SK Brann,Norway,NOR,UEFA,Brann
912e4c40,SK Rapid Wien,Austria,AUT,UEFA,Rapid Wien
41c6978d,SK Sigma Olomouc,Czech Republic,CZE,UEFA,Sigma Olomouc
111cbfb1,SK Slavia Prague,Czech Republic,CZE,UEFA,Slavia Prague
ae7f2f70,ŠK Slovan Bratislava,Slovakia,SVK,UEFA,ŠK Slovan Bratislava|Slovan Bratislava
3f4fe568,SK Sturm Graz,Austria,AUT,UEFA,Sturm Graz
f722bd04,SKN St. Pölten,Austria,AUT,UEFA,St. Pölten
89873a40,Skonto FC,Latvia,LVA,UEFA,Skonto FC
a77c513e,SL Benfica,Portugal,POR,UEFA,Benfica
7465f27b,Sliema Wanderers FC,Malta,MLT,UEFA,Sliema
0baacc84,Sligo Rovers FC,Ireland,IRL,UEFA,Sligo Rovers FC
7700eac9,SønderjyskE Fodbold,Denmark,DEN,UEFA,SønderjyskE
33c895d4,Southampton FC,England,ENG,UEFA,Southampton
25a0a787,SP Zawisza Bydgoszcz,Poland,POL,UEFA,Zawisza
591295f1,Spartak Myjava,Slovakia,SVK,UEFA,Spartak Myjava
78b01d1b,Speranța Nisporeni,Moldova,MDA,UEFA,Speranţa
13dc44fd,Sporting CP,Portugal,POR,UEFA,Sporting CP
bada91db,Sporting Lokeren,Belgium,BEL,UEFA,Lokeren
c582b1da,SS Folgore Falciano Calcio,San Marino,SMR,UEFA,Folgore
7213da33,SS Lazio,Italy,ITA,UEFA,Lazio
d48ad4ff,SSC Napoli,Italy,ITA,UEFA,Napoli
dd289621,St Johnstone FC,Scotland,SCO,UEFA,St Johnstone
8a814429,St Patrick's Athletic FC,Ireland,IRL,UEFA,St Patrick's|St. Patrick's
bb780485,St. Joseph's FC,Gibraltar,GIB,UEFA,St. Joseph's
c2153ae4,Stabæk Fotball,Norway,NOR,UEFA,Stabæk
b3072e00,Stade Rennais FC,France,FRA,UEFA,Rennes
33c6b26e,Standard Liège,Belgium,BEL,UEFA,Standard Liège
f13065a8,Stjarnan,Iceland,ISL,UEFA,Stjarnan
90eb0dcc,Strømsgodset Toppfotball,Norway,NOR,UEFA,Strømsgodset
d40080b0,SV Grödig,Austria,AUT,UEFA,Grödig
ecd34b98,SV Zulte Waregem,Belgium,BEL,UEFA,Zulte Waregem
fd12ff13,The New Saints FC,Wales,WAL,UEFA,The New Saints
105360fe,Torino FC,Italy,ITA,UEFA,Torino
361ca564,Tottenham Hotspur FC,England,ENG,UEFA,Tottenham
c8ad3091,Trabzonspor,Turkey,TUR,UEFA,Trabzonspor
a3ee587a,Tromsø IL,Norway,NOR,UEFA,Tromsø
033ea6b8,TSG 1899 Hoffenheim,Germany,GER,UEFA,Hoffenheim
8ff9e3b3,UC Sampdoria,Italy,ITA,UEFA,Sampdoria
b784c866,UE Engordany,Andorra,AND,UEFA,UE Engordany|Engordany
78816dd0,UE Sant Julià,Andorra,AND,UEFA,UE Sant Julià
84a33cca,UE Santa Coloma,Andorra,AND,UEFA,Santa Coloma
108607cf,Újpest FC,Hungary,HUN,UEFA,Újpest
3bc8afc5,Ulisses FC,Armenia,ARM,UEFA,Ulisses FC
04dcef70,University College Dublin AFC,Ireland,IRL,UEFA,UC Dublin
e2befd26,US Sassuolo Calcio,Italy,ITA,UEFA,Sassuolo
8b63ce55,Vaasan PS,Finland,FIN,UEFA,VPS
dcc91a7b,Valencia CF,Spain,ESP,UEFA,Valencia
3f53cc7a,Valletta FC,Malta,MLT,UEFA,Valletta FC|Valletta
b838366a,Valur,Iceland,ISL,UEFA,Valur
bbb935cb,Vasas FC,Hungary,HUN,UEFA,Vasas
4eaa11d7,VfL Wolfsburg,Germany,GER,UEFA,Wolfsburg
ea73b616,Víkingur Gøta,Faroe Islands,FRO,UEFA,Víkingur Gøta
2a8183b3,Villarreal CF,Spain,ESP,UEFA,Villarreal
209d7fa2,Vitesse Arnhem,Netherlands,NED,UEFA,Vitesse
3f319bc9,Vitória de Guimarães,Portugal,POR,UEFA,Vitória
4c6489de,VMFD Žalgiris Vilnius,Lithuania,LTU,UEFA,Žalgiris
7c21e445,West Ham United FC,England,ENG,UEFA,West Ham
c582b57f,WKS Śląsk Wrocław,Poland,POL,UEFA,Śląsk Wrocław
426658a6,Wolfsberger AC,Austria,AUT,UEFA,Wolfsberger AC
8cec06e1,Wolverhampton Wanderers FC,England,ENG,UEFA,Wolves
4cc7a87b,Yeni Malatyaspor,Turkey,TUR,UEFA,Yeni Mal'spor
ffb7956e,Zira FK,Azerbaijan,AZE,UEFA,Zira
